'id_car_generation','name','id_car_model','year_begin','year_end','date_create','date_update','id_car_type'
'838','2 поколение','803','2001','2005','1403647390','1463241794','1'
'839','1 поколение','803','1996','2001','1403647390','1463241795','1'
'840','2 поколение','804','2006','2009','1403647394','1463241798','1'
'841','1 поколение','804','2000','2004','1403647394','1463241800','1'
'902','2 поколение [рестайлинг]','862','2012','2013','1403647808','1479515693','1'
'903','2 поколение','862','2008','2012','1403647808','1495498493','1'
'904','1 поколение','862','2002','2008','1403647808','1471729848','1'
'909','4 поколение [рестайлинг]','864','2007','2013','1403647814','1463242150','1'
'910','4 поколение','864','2006','2010','1403647814','1463242150','1'
'911','Y51','867','2010','2013','1403647827','1463242155','1'
'912','Y50','867','2006','2008','1403647827','1463242157','1'
'913','Y34','867','2003','2005','1403647827','1463242160','1'
'914','F31','867','1990','1992','1403647827','1463242159','1'
'915','3 поколение','868','2001','2006','1403647830','1463242161','1'
'916','2 поколение','868','1996','2001','1403647830','1463242162','1'
'917','1 поколение','868','1989','1996','1403647830','1463242163','1'
'920','3 поколение','871','2010','2013','1403647864','1463242167','1'
'921','Z62 [рестайлинг]','875','2014','2017','1403647880','1484990108','1'
'922','Z62','875','2013','2014','1403647880','1463242205','1'
'6005','1 поколение [рестайлинг]','782','2004','2008','1419462843','1492642175','1'
'6002','4 поколение [рестайлинг]','780','2004','2006','1419462840','1463241671','1'
'5998','5 поколение [рестайлинг]','779','2010','2012','1419462838','1463241665','1'
'7242','1 поколение','865','1992','1997','1461879187','1463242152','1'
'6014','2 поколение [рестайлинг]','804','2009','2014','1419462871','1479515475','1'
'6007','5 поколение [рестайлинг]','784','2010','2014','1419462846','1479515424','1'
'6006','4 поколение [рестайлинг]','783','2008','2010','1419462845','1463241687','1'
'6004','2 поколение [рестайлинг]','782','2011','2015','1419462843','1479515416','1'
'6003','3 поколение [рестайлинг]','780','1995','2001','1419462840','1463241673','1'
'5999','4 поколение [рестайлинг]','779','2005','2007','1419462838','1463241666','1'
'5996','1 поколение [рестайлинг]','763','1998','2001','1419462818','1497997707','1'
'5995','2 поколение [рестайлинг]','763','2004','2006','1419462818','1497997707','1'
'5993','7 поколение [рестайлинг]','753','2006','2008','1419462798','1463241436','1'
'5991','9 поколение [рестайлинг]','753','2015','2017','1419462797','1497997637','1'
'6008','2 поколение [рестайлинг]','794','2012','2015','1419462858','1463241743','1'
'6009','1 поколение [рестайлинг]','794','2006','2008','1419462858','1463241744','1'
'6015','1 поколение [рестайлинг]','804','2004','2006','1419462871','1463241799','1'
'5997','2 поколение [рестайлинг]','778','2011','2015','1419462836','1479515403','1'
'5994','3 поколение [рестайлинг]','763','2009','2012','1419462818','1463241550','1'
'6196','7 поколение [рестайлинг]','761','2003','2005','1422314488','1463241514','1'
'6195','8 поколение [рестайлинг]','761','2007','2012','1422314487','1497997675','1'
'5834','3 поколение','774','2013','2017','1411936581','1484989727','1'
'5622','CV37','870','2016','2017','1409172734','1487636626','1'
'5615','1 поколение [2-й рестайлинг]','785','2000','2001','1409172620','1463241705','1'
'5613','HW','762','1988','1995','1409172594','1463241546','1'
'5895','Y50 [рестайлинг]','867','2006','2010','1416980855','1463242156','1'
'6671','1 поколение [рестайлинг]','777','2001','2006','1433617993','1463241631','1'
'6614','4 поколение [рестайлинг]','763','2014','2017','1432143235','1484989705','1'
'6615','1 поколение [2-й рестайлинг]','770','2008','2010','1432143247','1463241608','1'
'6617','1 поколение','777','1998','2001','1432143259','1463241632','1'
'6672','3 поколение','794','2016','2017','1433618021','1484989806','1'
'6800','Y51','2112','2013','2015','1439908951','1479519094','1'
'6801','Y51 [рестайлинг]','2112','2014','2017','1439908951','1484993855','1'
'8112','1 поколение','797','1993','1997','1461885805','1463241753','1'
'6982','1 поколение [рестайлинг]','791','1999','2002','1452951473','1463241737','1'
'6983','1 поколение','791','1996','1999','1452951473','1463241737','1'
'6987','CV36','870','2013','2015','1452951802','1479515713','1'
'7238','1 поколение','799','1996','2002','1461879151','1463241756','1'
'7237','1 поколение','775','2004','2009','1461879148','1463241627','1'
'7236','1 поколение [рестайлинг]','773','2005','2008','1461879147','1463241616','1'
'7234','1 поколение','765','2010','2017','1461879146','1484989711','1'
'8094','4 поколение','761','1987','1996','1461885744','1463241530','1'
'8102','1 поколение [рестайлинг]','776','2011','2014','1461885785','1479515395','1'
'8101','1 поколение','771','2004','2006','1461885753','1463241614','1'
'8100','1 поколение [рестайлинг]','771','2006','2008','1461885753','1463241613','1'
'8095','3 поколение','761',NULL,NULL,'1461885744','1463241534','1'
'8096','1 поколение','761',NULL,NULL,'1461885746','1463241541','1'
'8105','2 поколение','784','1997','1998','1461885795','1463241700','1'
'7233','1 поколение','753',NULL,NULL,'1461879141','1463241465','1'
'8110','2 поколение','788','2001','2005','1461885798','1463241711','1'
'8113','1 поколение [рестайлинг]','798','2008','2014','1461885806','1479515462','1'
'7598','1 поколение','19570','1992','1995','1461881953','1463268964','1'
'8956','1 поколение','19343','2016','2017','1461889025','1484994687','1'
'9053','2 поколение','753',NULL,NULL,'1462057632','1463241461','1'
'9052','4 поколение','753','1990','1993','1462057632','1463241456','1'
'9051','5 поколение','753','1993','1998','1462057632','1463241452','1'
'9050','6 поколение','753','1998','2002','1462057632','1463241445','1'
'9049','8 поколение','753','2008','2011','1462057631','1463241435','1'
'9048','8 поколение [рестайлинг]','753','2011','2013','1462057631','1463241434','1'
'8116','AP1','800','1999','2003','1461885808','1463241784','1'
'8117','1 поколение','802','1995','2001','1461885809','1463241788','1'
'8118','1 поколение','805','2002','2006','1461885845','1463241801','1'
'8119','1 поколение','806','1988','1996','1461885845','1463241802','1'
'8120','1 поколение','807','1997','2002','1461885846','1463241804','1'
'8121','HM1','808','1999','2001','1461885846','1479515481','1'
'8122','CB5','809','1989','1995','1461885847','1463241807','1'
'8123','1 поколение','810','1998','2002','1461885847','1463241843','1'
'8124','5 поколение','811',NULL,NULL,'1461885848','1463241844','1'
'8161','1 поколение','861','2007','2013','1461885929','1463242106','1'
'8162','1 поколение','866','2012','2014','1461885965','1463242153','1'
'8163','1 поколение','869','2013','2017','1461885968','1484990053','1'
'8164','L50 [рестайлинг]','873','2016','2017','1461885971','1484990105','1'
'8166','S51','874','2013','2017','1461885972','1484990107','1'
'9004','1 поколение','19516','2016','2017','1461889213','1484994784','1'
'9054','1 поколение','783','1987','1991','1462057639','1463241691','1'
'9348','6 поколение [рестайлинг]','753','2001','2002','1463241442',NULL,'1'
'9349','5 поколение [рестайлинг]','753','1996','1998','1463241449',NULL,'1'
'9350','1 поколение','754','2005','2008','1463241469',NULL,'1'
'9353','8 поколение [2-й рестайлинг]','761','2010','2012','1463241501','1497997675','1'
'9355','1 поколение','769','2004','2006','1463241606',NULL,'1'
'9356','1 поколение [2-й рестайлинг]','771','2008','2013','1463241612',NULL,'1'
'9357','1 поколение','773','2002','2005','1463241617',NULL,'1'
'9358','2 поколение [рестайлинг]','774','2010','2017','1463241620','1484989729','1'
'9359','1 поколение','776','2008','2011','1463241629',NULL,'1'
'9360','3 поколение [рестайлинг]','783','1998','2004','1463241688',NULL,'1'
'9361','4 поколение [рестайлинг]','784','2006','2008','1463241696',NULL,'1'
'9362','3 поколение [рестайлинг]','784','2001','2003','1463241698',NULL,'1'
'9363','1 поколение','784','1971','1974','1463241701',NULL,'1'
'9364','1 поколение [рестайлинг]','785','1998','2000','1463241706',NULL,'1'
'9365','1 поколение','785','1996','1998','1463241706',NULL,'1'
'9366','1 поколение','788','1992','1999','1463241712',NULL,'1'
'9367','5 поколение','790','2013','2017','1463241723','1484989789','1'
'9368','4 поколение [рестайлинг]','790','2011','2017','1463241725','1484989791','1'
'9369','3 поколение [рестайлинг]','790','2007','2010','1463241729',NULL,'1'
'9370','2 поколение [рестайлинг]','790','2001','2004','1463241731',NULL,'1'
'9371','4 поколение [рестайлинг]','803','2012','2015','1463241790','1479515470','1'
'9372','3 поколение [рестайлинг]','803','2007','2009','1463241792',NULL,'1'
'9418','2 поколение','871','2004','2010','1463242168',NULL,'1'
'9412','3 поколение [рестайлинг]','864','2005','2006','1463242147',NULL,'1'
'9413','3 поколение','864','2002','2005','1463242148',NULL,'1'
'9414','2 поколение','864','1999','2002','1463242150',NULL,'1'
'9415','1 поколение','864','1991','1996','1463242150',NULL,'1'
'9419','1 поколение [рестайлинг]','871','2001','2003','1463242169',NULL,'1'
'9420','1 поколение','871','1997','2001','1463242169',NULL,'1'
'9421','J50','872','2013','2015','1463242171','1479515717','1'
'9422','L50','873','2013','2016','1463242172',NULL,'1'
'10230','1 поколение [рестайлинг]','20160','2013','2015','1463309704','1479520925','1'
'10231','1 поколение','20160','2011','2013','1463309705',NULL,'1'
'10232','1 поколение [рестайлинг]','20162','2005','2008','1463309708',NULL,'1'
'10233','1 поколение','20162','2002','2005','1463309709',NULL,'1'
'10283','2 поколение','20214','2000','2004','1463310018','1479521017','1'
'10284','1 поколение','20214','1996','1999','1463310019',NULL,'1'
'10713','J50 [рестайлинг]','872','2016','2017','1468624605','1484990104','1'
'10810','10 поколение','761','2015','2017','1497997667',NULL,'1'
'10776','5 поколение','763','2016','2017','1488119909','1497997704','1'
